,bomtitle,bomlink,year,genre_text,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7
102,Wonder Boys,https://www.boxofficemojo.com/release/rl796558849/?ref_=bo_yld_table_103,2000,"['Comedy', 'Drama']",Comedy,Drama,,,,,,
103,Anna and the King,https://www.boxofficemojo.com/release/rl759334401/?ref_=bo_yld_table_104,2000,"['Drama', 'History', 'Romance']",Drama,History,Romance,,,,,
104,The Ninth Gate,https://www.boxofficemojo.com/release/rl1533511169/?ref_=bo_yld_table_105,2000,"['Mystery', 'Thriller']",Mystery,Thriller,,,,,,
105,Dracula 2000,https://www.boxofficemojo.com/release/rl1515095553/?ref_=bo_yld_table_106,2000,"['Action', 'Fantasy', 'Horror', 'Thriller']",Action,Fantasy,Horror,Thriller,,,,
106,The Contender,https://www.boxofficemojo.com/release/rl3410658817/?ref_=bo_yld_table_107,2000,"['Drama', 'Thriller']",Drama,Thriller,,,,,,
107,The Sixth Sense,https://www.boxofficemojo.com/release/rl3527509505/?ref_=bo_yld_table_108,2000,"['Drama', 'Mystery', 'Thriller']",Drama,Mystery,Thriller,,,,,
108,Small Time Crooks,https://www.boxofficemojo.com/release/rl896566785/?ref_=bo_yld_table_109,2000,"['Comedy', 'Crime']",Comedy,Crime,,,,,,
109,Red Planet,https://www.boxofficemojo.com/release/rl1533904385/?ref_=bo_yld_table_110,2000,"['Action', 'Sci-Fi', 'Thriller']",Action,Sci-Fi,Thriller,,,,,
110,Center Stage,https://www.boxofficemojo.com/release/rl3880289793/?ref_=bo_yld_table_111,2000,"['Drama', 'Music', 'Romance']",Drama,Music,Romance,,,,,
111,Best in Show,https://www.boxofficemojo.com/release/rl2302969345/?ref_=bo_yld_table_112,2000,['Comedy'],Comedy,,,,,,,
112,Boiler Room,https://www.boxofficemojo.com/release/rl1648788993/?ref_=bo_yld_table_113,2000,"['Crime', 'Drama', 'Thriller']",Crime,Drama,Thriller,,,,,
113,Billy Elliot,https://www.boxofficemojo.com/release/rl1598522881/?ref_=bo_yld_table_114,2000,"['Drama', 'Music']",Drama,Music,,,,,,
114,Lost Souls,https://www.boxofficemojo.com/release/rl2204206593/?ref_=bo_yld_table_115,2000,"['Drama', 'Horror', 'Thriller']",Drama,Horror,Thriller,,,,,
115,Eye of the Beholder,https://www.boxofficemojo.com/release/rl3209725441/?ref_=bo_yld_table_116,2000,"['Drama', 'Mystery', 'Thriller']",Drama,Mystery,Thriller,,,,,
116,Thomas and the Magic Railroad,https://www.boxofficemojo.com/release/rl1198818817/?ref_=bo_yld_table_117,2000,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",Adventure,Comedy,Drama,Family,Fantasy,,,
117,Loser,https://www.boxofficemojo.com/release/rl2556528129/?ref_=bo_yld_table_118,2000,"['Comedy', 'Romance']",Comedy,Romance,,,,,,
118,Drowning Mona,https://www.boxofficemojo.com/release/rl2454619649/?ref_=bo_yld_table_119,2000,"['Comedy', 'Crime', 'Mystery']",Comedy,Crime,Mystery,,,,,
119,Bait,https://www.boxofficemojo.com/release/rl3141895681/?ref_=bo_yld_table_120,2000,"['Action', 'Comedy', 'Crime', 'Thriller']",Action,Comedy,Crime,Thriller,,,,
120,American Psycho,https://www.boxofficemojo.com/release/rl2655225345/?ref_=bo_yld_table_121,2000,"['Comedy', 'Crime', 'Drama']",Comedy,Crime,Drama,,,,,
121,Get Carter,https://www.boxofficemojo.com/release/rl4233463297/?ref_=bo_yld_table_122,2000,"['Action', 'Crime', 'Drama', 'Thriller']",Action,Crime,Drama,Thriller,,,,
