,year,imdbcrewcastlink,imdbfilmtitle,imdbfilmlink,bomtitle,bomlink,descriptor1,descriptor2,descriptor3,NumOwnFilms(past five years),NumOfTwoCommonCategoriesOwnFilms(past five years),NumFeatureMovies(past five years),NumCommonFeatureMovies(past five years)
1951,2013,http://www.imdb.com/name/nm0000600/,Oz the Great and Powerful,http://www.imdb.com/title/tt1623205/,Oz The Great and Powerful,http://www.boxofficemojo.com/movies/?id=oz.htm,adventure,family,fantasy,2,1,38747.0,87.0
1952,2012,http://www.imdb.com/name/nm0271402/,ParaNorman,http://www.imdb.com/title/tt1623288/,ParaNorman,http://www.boxofficemojo.com/movies/?id=paranorman.htm,animation,adventure,comedy,2,2,35774.0,184.0
1953,2012,http://www.imdb.com/name/nm2752098/,ParaNorman,http://www.imdb.com/title/tt1623288/,ParaNorman,http://www.boxofficemojo.com/movies/?id=paranorman.htm,animation,adventure,comedy,1,1,35774.0,184.0
1954,2011,http://www.imdb.com/name/nm0718646/,Young Adult,http://www.imdb.com/title/tt1625346/,Young Adult,http://www.boxofficemojo.com/movies/?id=youngadult.htm,comedy,drama,,5,3,32639.0,2499.0
1955,2012,http://www.imdb.com/name/nm0000436/,Chasing Mavericks,http://www.imdb.com/title/tt1629757/,Chasing Mavericks,http://www.boxofficemojo.com/movies/?id=ofmenandmavericks.htm,biography,drama,sport,2,2,35774.0,277.0
1956,2012,http://www.imdb.com/name/nm0000776/,Chasing Mavericks,http://www.imdb.com/title/tt1629757/,Chasing Mavericks,http://www.boxofficemojo.com/movies/?id=ofmenandmavericks.htm,biography,drama,sport,4,1,35774.0,277.0
1957,2011,http://www.imdb.com/name/nm1731937/,Courageous,http://www.imdb.com/title/tt1630036/,Courageous,http://www.boxofficemojo.com/movies/?id=courageous.htm,drama,fantasy,,2,2,32639.0,254.0
1958,2014,http://www.imdb.com/name/nm0510731/,Edge of Tomorrow,http://www.imdb.com/title/tt1631867/,Edge of Tomorrow,http://www.boxofficemojo.com/movies/?id=allyouneediskill.htm,action,sci-fi,,3,1,41257.0,113.0
1959,2011,http://www.imdb.com/name/nm0323239/,Friends with Benefits,http://www.imdb.com/title/tt1632708/,Friends with Benefits,http://www.boxofficemojo.com/movies/?id=friendswithbenefits10.htm,comedy,romance,,4,2,32639.0,657.0
1960,2011,http://www.imdb.com/name/nm0254786/,Shark Night 3D,http://www.imdb.com/title/tt1633356/,Shark Night 3D,http://www.boxofficemojo.com/movies/?id=shark3d.htm,horror,thriller,,4,3,32639.0,446.0
1961,2011,http://www.imdb.com/name/nm0662529/,Johnny English Reborn,http://www.imdb.com/title/tt1634122/,Johnny English Reborn,http://www.boxofficemojo.com/movies/?id=johnnyenglish2.htm,action,adventure,comedy,5,2,32639.0,462.0
1962,2012,http://www.imdb.com/name/nm1294036/,Project X,http://www.imdb.com/title/tt1636826/,Project X,http://www.boxofficemojo.com/movies/?id=projectx2011.htm,comedy,,,2,0,35774.0,
1963,2011,http://www.imdb.com/name/nm0629272/,In Time,http://www.imdb.com/title/tt1637688/,In Time,http://www.boxofficemojo.com/movies/?id=now.htm,action,sci-fi,thriller,1,1,32639.0,68.0
1964,2011,http://www.imdb.com/name/nm0673400/,Our Idiot Brother,http://www.imdb.com/title/tt1637706/,Our Idiot Brother,http://www.boxofficemojo.com/movies/?id=ouridiotbrother.htm,comedy,drama,,5,1,32639.0,2499.0
1965,2012,http://www.imdb.com/name/nm0532235/,Ted,http://www.imdb.com/title/tt1637725/,Ted,http://www.boxofficemojo.com/movies/?id=ted.htm,comedy,,,2,0,35774.0,
