year,bomrank,bomtitle,imdblink,bomlink,imdb_genre_text,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Genre_8,Genre_9,Genre_10
2006,175,Curse of the Golden Flower,http://www.imdb.com/title/tt0473444/,http://www.boxofficemojo.com/movies/?id=curseofthegoldenflower.htm,"['Action', 'Adventure', 'Drama', ' Action', ' Adventure', ' Drama', ' Romance', ' Thriller']",Action,Adventure,Drama, Action, Adventure, Drama, Romance, Thriller,,,
2006,176,Grandma's Boy,http://www.imdb.com/title/tt0456554/,http://www.boxofficemojo.com/movies/?id=grandmasboy.htm,"['Comedy', ' Comedy']",Comedy, Comedy,,,,,,,,,
2006,177,Basic Instinct 2,http://www.imdb.com/title/tt0430912/,http://www.boxofficemojo.com/movies/?id=basicinstinct2.htm,"['Drama', 'Mystery', 'Thriller', ' Drama', ' Mystery', ' Thriller']",Drama,Mystery,Thriller, Drama, Mystery, Thriller,,,,,
2006,178,For Your Consideration,http://www.imdb.com/title/tt0470765/,http://www.boxofficemojo.com/movies/?id=foryourconsideration.htm,"['Comedy', ' Comedy']",Comedy, Comedy,,,,,,,,,
2006,179,A Scanner Darkly,http://www.imdb.com/title/tt0405296/,http://www.boxofficemojo.com/movies/?id=scannerdarkly.htm,"['Animation', 'Crime', 'Drama', ' Animation', ' Crime', ' Drama', ' Mystery', ' Sci-Fi', ' Thriller']",Animation,Crime,Drama, Animation, Crime, Drama, Mystery, Sci-Fi, Thriller,,
2006,180,Little Children,http://www.imdb.com/title/tt0404203/,http://www.boxofficemojo.com/movies/?id=littlechildren.htm,"['Drama', 'Romance', ' Drama', ' Romance']",Drama,Romance, Drama, Romance,,,,,,,
2006,181,The Science of Sleep,http://www.imdb.com/title/tt0354899/,http://www.boxofficemojo.com/movies/?id=scienceofsleep.htm,"['Comedy', 'Drama', 'Fantasy', ' Comedy', ' Drama', ' Fantasy', ' Romance']",Comedy,Drama,Fantasy, Comedy, Drama, Fantasy, Romance,,,,
2006,182,Let's Go to Prison,http://www.imdb.com/title/tt0454987/,http://www.boxofficemojo.com/movies/?id=letsgotoprison.htm,"['Comedy', 'Crime', ' Comedy', ' Crime']",Comedy,Crime, Comedy, Crime,,,,,,,
2006,183,Keeping Up with the Steins,http://www.imdb.com/title/tt0415949/,http://www.boxofficemojo.com/movies/?id=keepingupwiththesteins.htm,"['Comedy', ' Comedy']",Comedy, Comedy,,,,,,,,,
2006,184,National Lampoon's Van Wilder: The Rise of Taj,http://www.imdb.com/title/tt0480271/,http://www.boxofficemojo.com/movies/?id=vanwilder2.htm,"['Comedy', 'Romance', ' Comedy', ' Romance']",Comedy,Romance, Comedy, Romance,,,,,,,
2006,185,Catch a Fire,http://www.imdb.com/title/tt0437232/,http://www.boxofficemojo.com/movies/?id=catchafire.htm,"['Biography', 'Drama', 'History', ' Biography', ' Drama', ' History']",Biography,Drama,History, Biography, Drama, History,,,,,
2006,186,Goal! The Dream Begins,http://www.imdb.com/title/tt0380389/,http://www.boxofficemojo.com/movies/?id=goal.htm,"['Drama', 'Romance', 'Sport', ' Drama', ' Romance', ' Sport']",Drama,Romance,Sport, Drama, Romance, Sport,,,,,
2006,187,Trailer Park Boys: The Movie,http://www.imdb.com/title/tt0425601/,http://www.boxofficemojo.com/movies/?id=trailerparkboys.htm,"['Comedy', 'Crime', ' Comedy', ' Crime']",Comedy,Crime, Comedy, Crime,,,,,,,
2006,188,Venus,http://www.imdb.com/title/tt0489327/,http://www.boxofficemojo.com/movies/?id=venus.htm,"['Comedy', 'Drama', 'Romance', ' Comedy', ' Drama', ' Romance']",Comedy,Drama,Romance, Comedy, Drama, Romance,,,,,
2006,189,Harsh Times,http://www.imdb.com/title/tt0433387/,http://www.boxofficemojo.com/movies/?id=harshtimes.htm,"['Action', 'Crime', 'Drama', ' Action', ' Crime', ' Drama', ' Thriller']",Action,Crime,Drama, Action, Crime, Drama, Thriller,,,,
2006,190,Art School Confidential,http://www.imdb.com/title/tt0364955/,http://www.boxofficemojo.com/movies/?id=artschoolconfidential.htm,"['Comedy', 'Drama', 'Romance', ' Comedy', ' Drama', ' Romance']",Comedy,Drama,Romance, Comedy, Drama, Romance,,,,,
2006,191,Water,http://www.imdb.com/title/tt0240200/,http://www.boxofficemojo.com/movies/?id=water06.htm,"['Drama', ' Drama']",Drama, Drama,,,,,,,,,
2006,192,Kabhi Alvida Naa Kehna,http://www.imdb.com/title/tt0449999/,http://www.boxofficemojo.com/movies/?id=kabhialvidanaakehna.htm,"['Drama', 'Romance', ' Drama', ' Romance']",Drama,Romance, Drama, Romance,,,,,,,
2006,193,Boynton Beach Club,http://www.imdb.com/title/tt0439478/,http://www.boxofficemojo.com/movies/?id=boyntonbeachclub.htm,"['Comedy', 'Romance', ' Comedy', ' Romance']",Comedy,Romance, Comedy, Romance,,,,,,,
2006,194,Wordplay,http://www.imdb.com/title/tt0492506/,http://www.boxofficemojo.com/movies/?id=wordplay.htm,"['Documentary', ' Documentary']",Documentary, Documentary,,,,,,,,,
2006,195,Miss Potter,http://www.imdb.com/title/tt0482546/,http://www.boxofficemojo.com/movies/?id=misspotter.htm,"['Biography', 'Drama', ' Biography', ' Drama']",Biography,Drama, Biography, Drama,,,,,,,
2006,196,The Polar Express (IMAX re-issue 2006),http://www.imdb.com/title/tt0338348/,http://www.boxofficemojo.com/movies/?id=polarexpressimax06.htm,"['Animation', 'Adventure', 'Comedy', ' Animation', ' Adventure', ' Comedy', ' Family', ' Fantasy', ' Musical']",Animation,Adventure,Comedy, Animation, Adventure, Comedy, Family, Fantasy, Musical,,
2006,197,Tsotsi,http://www.imdb.com/title/tt0468565/,http://www.boxofficemojo.com/movies/?id=tsotsi.htm,"['Crime', 'Drama', ' Crime', ' Drama']",Crime,Drama, Crime, Drama,,,,,,,
2006,198,La Mujer de Mi Hermano,http://www.imdb.com/title/tt0463345/,http://www.boxofficemojo.com/movies/?id=mujerdemihermano.htm,"['Drama', ' Drama']",Drama, Drama,,,,,,,,,
2006,199,The History Boys,http://www.imdb.com/title/tt0464049/,http://www.boxofficemojo.com/movies/?id=historyboys.htm,"['Comedy', 'Drama', 'Romance', ' Comedy', ' Drama', ' Romance']",Comedy,Drama,Romance, Comedy, Drama, Romance,,,,,
2006,200,Half Nelson,http://www.imdb.com/title/tt0468489/,http://www.boxofficemojo.com/movies/?id=halfnelson.htm,"['Drama', ' Drama']",Drama, Drama,,,,,,,,,
2007,1,Spider-Man 3,http://www.imdb.com/title/tt0413300/,http://www.boxofficemojo.com/movies/?id=spiderman3.htm,"['Action', 'Sci-Fi', ' Action', ' Sci-Fi']",Action,Sci-Fi, Action, Sci-Fi,,,,,,,
2007,2,Shrek the Third,http://www.imdb.com/title/tt0413267/,http://www.boxofficemojo.com/movies/?id=shrek3.htm,"['Animation', 'Adventure', 'Comedy', ' Animation', ' Adventure', ' Comedy', ' Family', ' Fantasy']",Animation,Adventure,Comedy, Animation, Adventure, Comedy, Family, Fantasy,,,
2007,3,Transformers,http://www.imdb.com/title/tt0418279/,http://www.boxofficemojo.com/movies/?id=transformers06.htm,"['Action', 'Adventure', 'Sci-Fi', ' Action', ' Adventure', ' Sci-Fi']",Action,Adventure,Sci-Fi, Action, Adventure, Sci-Fi,,,,,
2007,4,Pirates of the Caribbean: At World's End,http://www.imdb.com/title/tt0449088/,http://www.boxofficemojo.com/movies/?id=piratesofthecaribbean3.htm,"['Action', 'Adventure', 'Fantasy', ' Action', ' Adventure', ' Fantasy']",Action,Adventure,Fantasy, Action, Adventure, Fantasy,,,,,
2007,5,Harry Potter and the Order of the Phoenix,http://www.imdb.com/title/tt0373889/,http://www.boxofficemojo.com/movies/?id=harrypotter5.htm,"['Action', 'Adventure', 'Family', ' Action', ' Adventure', ' Family', ' Fantasy', ' Mystery']",Action,Adventure,Family, Action, Adventure, Family, Fantasy, Mystery,,,
2007,6,I Am Legend,http://www.imdb.com/title/tt0480249/,http://www.boxofficemojo.com/movies/?id=iamlegend.htm,"['Adventure', 'Drama', 'Sci-Fi', ' Adventure', ' Drama', ' Sci-Fi', ' Thriller']",Adventure,Drama,Sci-Fi, Adventure, Drama, Sci-Fi, Thriller,,,,
2007,7,The Bourne Ultimatum,http://www.imdb.com/title/tt0440963/,http://www.boxofficemojo.com/movies/?id=bourneultimatum.htm,"['Action', 'Mystery', 'Thriller', ' Action', ' Mystery', ' Thriller']",Action,Mystery,Thriller, Action, Mystery, Thriller,,,,,
