,bomfilmtitle,filmimdb,year,notsample,filmrank,castrank,filmrole,actorname,actorimdb,birthyear,gender,race,bomlink,starpower-actor,name_id,bomtitle,releasedate,prior10weeksDate
79,Bad Education,http://www.imdb.com/title/tt0275491/,2004,1,7,5,Cast,Francisco Maestre,http://www.imdb.com/name/nm0535481/,,,,http://www.boxofficemojo.com/movies/?id=badeducation.htm,90925,nm0535481,Bad Education,11/19/2004,9/10/2004
80,Barbershop 2: Back in Business,http://www.imdb.com/title/tt0337579/,2004,0,4,1,Cast,Ice Cube,http://www.imdb.com/name/nm0001084/,1969,m,black,http://www.boxofficemojo.com/movies/?id=barbershop2.htm,911,nm0001084,Barbershop 2: Back in Business,2/6/2004,11/28/2003
81,Barbershop 2: Back in Business,http://www.imdb.com/title/tt0337579/,2004,0,5,2,Cast,Cedric the Entertainer,http://www.imdb.com/name/nm0147825/,1964,m,black,http://www.boxofficemojo.com/movies/?id=barbershop2.htm,2148,nm0147825,Barbershop 2: Back in Business,2/6/2004,11/28/2003
82,Barbershop 2: Back in Business,http://www.imdb.com/title/tt0337579/,2004,0,6,3,Cast,Sean Patrick Thomas,http://www.imdb.com/name/nm0859503/,1970,m,black,http://www.boxofficemojo.com/movies/?id=barbershop2.htm,1411,nm0859503,Barbershop 2: Back in Business,2/6/2004,11/28/2003
83,Barbershop 2: Back in Business,http://www.imdb.com/title/tt0337579/,2004,0,7,4,Cast,Eve,http://www.imdb.com/name/nm1073992/,1978,f,black,http://www.boxofficemojo.com/movies/?id=barbershop2.htm,2363,nm1073992,Barbershop 2: Back in Business,2/6/2004,11/28/2003
84,Barbershop 2: Back in Business,http://www.imdb.com/title/tt0337579/,2004,0,8,5,Cast,Troy Garity,http://www.imdb.com/name/nm0004949/,1973,m,white,http://www.boxofficemojo.com/movies/?id=barbershop2.htm,3664,nm0004949,Barbershop 2: Back in Business,2/6/2004,11/28/2003
85,Before Sunset,http://www.imdb.com/title/tt0381681/,2004,0,9,1,Cast,Ethan Hawke,http://www.imdb.com/name/nm0000160/,1970,m,white,http://www.boxofficemojo.com/movies/?id=beforesunset.htm,179,nm0000160,Before Sunset,7/2/2004,4/23/2004
86,Before Sunset,http://www.imdb.com/title/tt0381681/,2004,0,10,2,Cast,Julie Delpy,http://www.imdb.com/name/nm0000365/,1969,f,white,http://www.boxofficemojo.com/movies/?id=beforesunset.htm,1374,nm0000365,Before Sunset,7/2/2004,4/23/2004
87,Before Sunset,http://www.imdb.com/title/tt0381681/,2004,0,11,3,Cast,Vernon Dobtcheff,http://www.imdb.com/name/nm0229943/,1934,m,white,http://www.boxofficemojo.com/movies/?id=beforesunset.htm,17095,nm0229943,Before Sunset,7/2/2004,4/23/2004
88,Before Sunset,http://www.imdb.com/title/tt0381681/,2004,0,12,4,Cast,Louise Lemoine Torrès,http://www.imdb.com/name/nm1566537/,1973,f,white,http://www.boxofficemojo.com/movies/?id=beforesunset.htm,1105153,nm1566537,Before Sunset,7/2/2004,4/23/2004
89,Before Sunset,http://www.imdb.com/title/tt0381681/,2004,0,13,5,Cast,Rodolphe Pauly,http://www.imdb.com/name/nm0667416/,1983,m,white,http://www.boxofficemojo.com/movies/?id=beforesunset.htm,72799,nm0667416,Before Sunset,7/2/2004,4/23/2004
90,Being Julia,http://www.imdb.com/title/tt0340012/,2004,1,4,1,Cast,Michael Gambon,http://www.imdb.com/name/nm0002091/,1940,m,white,http://www.boxofficemojo.com/movies/?id=beingjulia.htm,400,nm0002091,Being Julia,10/15/2004,8/6/2004
91,Being Julia,http://www.imdb.com/title/tt0340012/,2004,1,5,2,Cast,Annette Bening,http://www.imdb.com/name/nm0000906/,1958,f,white,http://www.boxofficemojo.com/movies/?id=beingjulia.htm,905,nm0000906,Being Julia,10/15/2004,8/6/2004
92,Being Julia,http://www.imdb.com/title/tt0340012/,2004,1,6,3,Cast,Leigh Lawson,http://www.imdb.com/name/nm0493271/,,,,http://www.boxofficemojo.com/movies/?id=beingjulia.htm,14862,nm0493271,Being Julia,10/15/2004,8/6/2004
93,Being Julia,http://www.imdb.com/title/tt0340012/,2004,1,7,4,Cast,Shaun Evans,http://www.imdb.com/name/nm1140345/,1980,m,white,http://www.boxofficemojo.com/movies/?id=beingjulia.htm,27674,nm1140345,Being Julia,10/15/2004,8/6/2004
94,Being Julia,http://www.imdb.com/title/tt0340012/,2004,1,8,5,Cast,Mari Kiss,http://www.imdb.com/name/nm0457364/,,,,http://www.boxofficemojo.com/movies/?id=beingjulia.htm,161627,nm0457364,Being Julia,10/15/2004,8/6/2004
